category_id,coin_id,year,variable,value
layer-1,bitcoin,2019,ranking_estabilidad,0.0
layer-1,bitcoin-cash,2019,ranking_estabilidad,1.0
layer-1,ethereum,2019,ranking_estabilidad,2.0
layer-1,binancecoin,2019,ranking_estabilidad,3.0
layer-1,cosmos,2019,ranking_estabilidad,4.0
layer-1,algorand,2019,ranking_estabilidad,5.0
layer-1,tezos,2019,ranking_estabilidad,6.0
layer-1,crypto-com-chain,2019,ranking_estabilidad,7.0
layer-1,cardano,2019,ranking_estabilidad,8.0
layer-1,hedera-hashgraph,2019,ranking_estabilidad,9.0
layer-1,fantom,2019,ranking_estabilidad,10.0
layer-1,bitcoin,2020,ranking_estabilidad,0.0
layer-1,ethereum,2020,ranking_estabilidad,1.0
layer-1,bitcoin-cash,2020,ranking_estabilidad,2.0
layer-1,binancecoin,2020,ranking_estabilidad,3.0
layer-1,cosmos,2020,ranking_estabilidad,4.0
layer-1,tezos,2020,ranking_estabilidad,5.0
layer-1,algorand,2020,ranking_estabilidad,6.0
layer-1,crypto-com-chain,2020,ranking_estabilidad,7.0
layer-1,cardano,2020,ranking_estabilidad,8.0
layer-1,fantom,2020,ranking_estabilidad,9.0
layer-1,hedera-hashgraph,2020,ranking_estabilidad,10.0
layer-1,bitcoin,2021,ranking_estabilidad,0.0
layer-1,ethereum,2021,ranking_estabilidad,1.0
layer-1,bitcoin-cash,2021,ranking_estabilidad,2.0
layer-1,binancecoin,2021,ranking_estabilidad,3.0
layer-1,cosmos,2021,ranking_estabilidad,4.0
layer-1,tezos,2021,ranking_estabilidad,5.0
layer-1,fantom,2021,ranking_estabilidad,6.0
layer-1,cardano,2021,ranking_estabilidad,7.0
layer-1,algorand,2021,ranking_estabilidad,8.0
layer-1,crypto-com-chain,2021,ranking_estabilidad,9.0
layer-1,hedera-hashgraph,2021,ranking_estabilidad,10.0
layer-1,bitcoin,2022,ranking_estabilidad,0.0
layer-1,ethereum,2022,ranking_estabilidad,1.0
layer-1,bitcoin-cash,2022,ranking_estabilidad,2.0
layer-1,binancecoin,2022,ranking_estabilidad,3.0
layer-1,cosmos,2022,ranking_estabilidad,4.0
layer-1,tezos,2022,ranking_estabilidad,5.0
layer-1,fantom,2022,ranking_estabilidad,6.0
layer-1,algorand,2022,ranking_estabilidad,7.0
layer-1,cardano,2022,ranking_estabilidad,8.0
layer-1,crypto-com-chain,2022,ranking_estabilidad,9.0
layer-1,hedera-hashgraph,2022,ranking_estabilidad,10.0
layer-1,bitcoin,2023,ranking_estabilidad,0.0
layer-1,ethereum,2023,ranking_estabilidad,1.0
layer-1,bitcoin-cash,2023,ranking_estabilidad,2.0
layer-1,binancecoin,2023,ranking_estabilidad,3.0
layer-1,cosmos,2023,ranking_estabilidad,4.0
layer-1,tezos,2023,ranking_estabilidad,5.0
layer-1,fantom,2023,ranking_estabilidad,6.0
layer-1,algorand,2023,ranking_estabilidad,7.0
layer-1,cardano,2023,ranking_estabilidad,8.0
layer-1,hedera-hashgraph,2023,ranking_estabilidad,9.0
layer-1,crypto-com-chain,2023,ranking_estabilidad,10.0
stablecoins,pax-gold,2019,ranking_estabilidad,0.0
stablecoins,stasis-eurs,2019,ranking_estabilidad,1.11
stablecoins,dai,2019,ranking_estabilidad,2.22
stablecoins,gemini-dollar,2019,ranking_estabilidad,3.33
stablecoins,true-usd,2019,ranking_estabilidad,4.44
stablecoins,usd-coin,2019,ranking_estabilidad,5.56
stablecoins,paxos-standard,2019,ranking_estabilidad,6.67
stablecoins,tether,2019,ranking_estabilidad,7.78
stablecoins,binance-usd,2019,ranking_estabilidad,8.89
stablecoins,bilira,2019,ranking_estabilidad,10.0
stablecoins,pax-gold,2020,ranking_estabilidad,0.0
stablecoins,stasis-eurs,2020,ranking_estabilidad,1.11
stablecoins,bilira,2020,ranking_estabilidad,2.22
stablecoins,gemini-dollar,2020,ranking_estabilidad,3.33
stablecoins,dai,2020,ranking_estabilidad,4.44
stablecoins,paxos-standard,2020,ranking_estabilidad,5.56
stablecoins,binance-usd,2020,ranking_estabilidad,6.67
stablecoins,true-usd,2020,ranking_estabilidad,7.78
stablecoins,tether,2020,ranking_estabilidad,8.89
stablecoins,usd-coin,2020,ranking_estabilidad,10.0
stablecoins,pax-gold,2021,ranking_estabilidad,0.0
stablecoins,stasis-eurs,2021,ranking_estabilidad,1.11
stablecoins,bilira,2021,ranking_estabilidad,2.22
stablecoins,gemini-dollar,2021,ranking_estabilidad,3.33
stablecoins,true-usd,2021,ranking_estabilidad,4.44
stablecoins,binance-usd,2021,ranking_estabilidad,5.56
stablecoins,paxos-standard,2021,ranking_estabilidad,6.67
stablecoins,usd-coin,2021,ranking_estabilidad,7.78
stablecoins,dai,2021,ranking_estabilidad,8.89
stablecoins,tether,2021,ranking_estabilidad,10.0
stablecoins,pax-gold,2022,ranking_estabilidad,0.0
stablecoins,stasis-eurs,2022,ranking_estabilidad,1.11
stablecoins,bilira,2022,ranking_estabilidad,2.22
stablecoins,gemini-dollar,2022,ranking_estabilidad,3.33
stablecoins,paxos-standard,2022,ranking_estabilidad,4.44
stablecoins,binance-usd,2022,ranking_estabilidad,5.56
stablecoins,usd-coin,2022,ranking_estabilidad,6.67
stablecoins,true-usd,2022,ranking_estabilidad,7.78
stablecoins,dai,2022,ranking_estabilidad,8.89
stablecoins,tether,2022,ranking_estabilidad,10.0
stablecoins,pax-gold,2023,ranking_estabilidad,0.0
stablecoins,stasis-eurs,2023,ranking_estabilidad,1.11
stablecoins,bilira,2023,ranking_estabilidad,2.22
stablecoins,gemini-dollar,2023,ranking_estabilidad,3.33
stablecoins,usd-coin,2023,ranking_estabilidad,4.44
stablecoins,paxos-standard,2023,ranking_estabilidad,5.56
stablecoins,dai,2023,ranking_estabilidad,6.67
stablecoins,true-usd,2023,ranking_estabilidad,7.78
stablecoins,tether,2023,ranking_estabilidad,8.89
stablecoins,binance-usd,2023,ranking_estabilidad,10.0
layer-1,bitcoin,2019,ranking_volumen,10.0
layer-1,bitcoin-cash,2019,ranking_volumen,8.0
layer-1,ethereum,2019,ranking_volumen,9.0
layer-1,binancecoin,2019,ranking_volumen,7.0
layer-1,cosmos,2019,ranking_volumen,5.0
layer-1,algorand,2019,ranking_volumen,4.0
layer-1,tezos,2019,ranking_volumen,3.0
layer-1,crypto-com-chain,2019,ranking_volumen,2.0
layer-1,cardano,2019,ranking_volumen,6.0
layer-1,hedera-hashgraph,2019,ranking_volumen,0.0
layer-1,fantom,2019,ranking_volumen,1.0
layer-1,bitcoin,2020,ranking_volumen,10.0
layer-1,ethereum,2020,ranking_volumen,9.0
layer-1,bitcoin-cash,2020,ranking_volumen,8.0
layer-1,binancecoin,2020,ranking_volumen,6.0
layer-1,cosmos,2020,ranking_volumen,5.0
layer-1,tezos,2020,ranking_volumen,4.0
layer-1,algorand,2020,ranking_volumen,3.0
layer-1,crypto-com-chain,2020,ranking_volumen,2.0
layer-1,cardano,2020,ranking_volumen,7.0
layer-1,fantom,2020,ranking_volumen,0.0
layer-1,hedera-hashgraph,2020,ranking_volumen,1.0
layer-1,bitcoin,2021,ranking_volumen,10.0
layer-1,ethereum,2021,ranking_volumen,9.0
layer-1,bitcoin-cash,2021,ranking_volumen,8.0
layer-1,binancecoin,2021,ranking_volumen,6.0
layer-1,cosmos,2021,ranking_volumen,5.0
layer-1,tezos,2021,ranking_volumen,3.0
layer-1,fantom,2021,ranking_volumen,2.0
layer-1,cardano,2021,ranking_volumen,7.0
layer-1,algorand,2021,ranking_volumen,4.0
layer-1,crypto-com-chain,2021,ranking_volumen,1.0
layer-1,hedera-hashgraph,2021,ranking_volumen,0.0
layer-1,bitcoin,2022,ranking_volumen,10.0
layer-1,ethereum,2022,ranking_volumen,9.0
layer-1,bitcoin-cash,2022,ranking_volumen,6.0
layer-1,binancecoin,2022,ranking_volumen,8.0
layer-1,cosmos,2022,ranking_volumen,5.0
layer-1,tezos,2022,ranking_volumen,2.0
layer-1,fantom,2022,ranking_volumen,4.0
layer-1,algorand,2022,ranking_volumen,3.0
layer-1,cardano,2022,ranking_volumen,7.0
layer-1,crypto-com-chain,2022,ranking_volumen,1.0
layer-1,hedera-hashgraph,2022,ranking_volumen,0.0
layer-1,bitcoin,2023,ranking_volumen,10.0
layer-1,ethereum,2023,ranking_volumen,9.0
layer-1,bitcoin-cash,2023,ranking_volumen,6.0
layer-1,binancecoin,2023,ranking_volumen,8.0
layer-1,cosmos,2023,ranking_volumen,4.0
layer-1,tezos,2023,ranking_volumen,1.0
layer-1,fantom,2023,ranking_volumen,5.0
layer-1,algorand,2023,ranking_volumen,3.0
layer-1,cardano,2023,ranking_volumen,7.0
layer-1,hedera-hashgraph,2023,ranking_volumen,2.0
layer-1,crypto-com-chain,2023,ranking_volumen,0.0
stablecoins,pax-gold,2019,ranking_volumen,3.33
stablecoins,stasis-eurs,2019,ranking_volumen,1.11
stablecoins,dai,2019,ranking_volumen,2.22
stablecoins,gemini-dollar,2019,ranking_volumen,5.56
stablecoins,true-usd,2019,ranking_volumen,6.67
stablecoins,usd-coin,2019,ranking_volumen,8.89
stablecoins,paxos-standard,2019,ranking_volumen,7.78
stablecoins,tether,2019,ranking_volumen,10.0
stablecoins,binance-usd,2019,ranking_volumen,4.44
stablecoins,bilira,2019,ranking_volumen,0.0
stablecoins,pax-gold,2020,ranking_volumen,2.22
stablecoins,stasis-eurs,2020,ranking_volumen,1.11
stablecoins,bilira,2020,ranking_volumen,0.0
stablecoins,gemini-dollar,2020,ranking_volumen,3.33
stablecoins,dai,2020,ranking_volumen,4.44
stablecoins,paxos-standard,2020,ranking_volumen,6.67
stablecoins,binance-usd,2020,ranking_volumen,5.56
stablecoins,true-usd,2020,ranking_volumen,8.89
stablecoins,tether,2020,ranking_volumen,10.0
stablecoins,usd-coin,2020,ranking_volumen,7.78
stablecoins,pax-gold,2021,ranking_volumen,3.33
stablecoins,stasis-eurs,2021,ranking_volumen,0.0
stablecoins,bilira,2021,ranking_volumen,1.11
stablecoins,gemini-dollar,2021,ranking_volumen,2.22
stablecoins,true-usd,2021,ranking_volumen,5.56
stablecoins,binance-usd,2021,ranking_volumen,8.89
stablecoins,paxos-standard,2021,ranking_volumen,4.44
stablecoins,usd-coin,2021,ranking_volumen,7.78
stablecoins,dai,2021,ranking_volumen,6.67
stablecoins,tether,2021,ranking_volumen,10.0
stablecoins,pax-gold,2022,ranking_volumen,3.33
stablecoins,stasis-eurs,2022,ranking_volumen,2.22
stablecoins,bilira,2022,ranking_volumen,0.0
stablecoins,gemini-dollar,2022,ranking_volumen,1.11
stablecoins,paxos-standard,2022,ranking_volumen,4.44
stablecoins,binance-usd,2022,ranking_volumen,8.89
stablecoins,usd-coin,2022,ranking_volumen,7.78
stablecoins,true-usd,2022,ranking_volumen,5.56
stablecoins,dai,2022,ranking_volumen,6.67
stablecoins,tether,2022,ranking_volumen,10.0
stablecoins,pax-gold,2023,ranking_volumen,4.44
stablecoins,stasis-eurs,2023,ranking_volumen,2.22
stablecoins,bilira,2023,ranking_volumen,0.0
stablecoins,gemini-dollar,2023,ranking_volumen,1.11
stablecoins,usd-coin,2023,ranking_volumen,7.78
stablecoins,paxos-standard,2023,ranking_volumen,3.33
stablecoins,dai,2023,ranking_volumen,5.56
stablecoins,true-usd,2023,ranking_volumen,6.67
stablecoins,tether,2023,ranking_volumen,10.0
stablecoins,binance-usd,2023,ranking_volumen,8.89
layer-1,bitcoin,2019,indice_estabilidad,3.4
layer-1,bitcoin-cash,2019,indice_estabilidad,3.38
layer-1,ethereum,2019,indice_estabilidad,4.38
layer-1,binancecoin,2019,indice_estabilidad,4.36
layer-1,cosmos,2019,indice_estabilidad,4.34
layer-1,algorand,2019,indice_estabilidad,4.66
layer-1,tezos,2019,indice_estabilidad,4.98
layer-1,crypto-com-chain,2019,indice_estabilidad,5.3
layer-1,cardano,2019,indice_estabilidad,7.32
layer-1,hedera-hashgraph,2019,indice_estabilidad,5.94
layer-1,fantom,2019,indice_estabilidad,6.94
layer-1,bitcoin,2020,indice_estabilidad,3.4
layer-1,ethereum,2020,indice_estabilidad,3.72
layer-1,bitcoin-cash,2020,indice_estabilidad,4.04
layer-1,binancecoin,2020,indice_estabilidad,4.02
layer-1,cosmos,2020,indice_estabilidad,4.34
layer-1,tezos,2020,indice_estabilidad,4.66
layer-1,algorand,2020,indice_estabilidad,4.98
layer-1,crypto-com-chain,2020,indice_estabilidad,5.3
layer-1,cardano,2020,indice_estabilidad,7.66
layer-1,fantom,2020,indice_estabilidad,5.94
layer-1,hedera-hashgraph,2020,indice_estabilidad,6.94
layer-1,bitcoin,2021,indice_estabilidad,3.4
layer-1,ethereum,2021,indice_estabilidad,3.72
layer-1,bitcoin-cash,2021,indice_estabilidad,4.04
layer-1,binancecoin,2021,indice_estabilidad,4.02
layer-1,cosmos,2021,indice_estabilidad,4.34
layer-1,tezos,2021,indice_estabilidad,4.32
layer-1,fantom,2021,indice_estabilidad,4.64
layer-1,cardano,2021,indice_estabilidad,7.0
layer-1,algorand,2021,indice_estabilidad,6.64
layer-1,crypto-com-chain,2021,indice_estabilidad,6.28
layer-1,hedera-hashgraph,2021,indice_estabilidad,6.6
layer-1,bitcoin,2022,indice_estabilidad,3.4
layer-1,ethereum,2022,indice_estabilidad,3.72
layer-1,bitcoin-cash,2022,indice_estabilidad,3.36
layer-1,binancecoin,2022,indice_estabilidad,4.7
layer-1,cosmos,2022,indice_estabilidad,4.34
layer-1,tezos,2022,indice_estabilidad,3.98
layer-1,fantom,2022,indice_estabilidad,5.32
layer-1,algorand,2022,indice_estabilidad,5.64
layer-1,cardano,2022,indice_estabilidad,7.66
layer-1,crypto-com-chain,2022,indice_estabilidad,6.28
layer-1,hedera-hashgraph,2022,indice_estabilidad,6.6
layer-1,bitcoin,2023,indice_estabilidad,3.4
layer-1,ethereum,2023,indice_estabilidad,3.72
layer-1,bitcoin-cash,2023,indice_estabilidad,3.36
layer-1,binancecoin,2023,indice_estabilidad,4.7
layer-1,cosmos,2023,indice_estabilidad,4.0
layer-1,tezos,2023,indice_estabilidad,3.64
layer-1,fantom,2023,indice_estabilidad,5.66
layer-1,algorand,2023,indice_estabilidad,5.64
layer-1,cardano,2023,indice_estabilidad,7.66
layer-1,hedera-hashgraph,2023,indice_estabilidad,6.62
layer-1,crypto-com-chain,2023,indice_estabilidad,6.6
stablecoins,pax-gold,2019,indice_estabilidad,1.13
stablecoins,stasis-eurs,2019,indice_estabilidad,1.11
stablecoins,dai,2019,indice_estabilidad,2.22
stablecoins,gemini-dollar,2019,indice_estabilidad,4.09
stablecoins,true-usd,2019,indice_estabilidad,5.2
stablecoins,usd-coin,2019,indice_estabilidad,6.69
stablecoins,paxos-standard,2019,indice_estabilidad,7.04
stablecoins,tether,2019,indice_estabilidad,8.53
stablecoins,binance-usd,2019,indice_estabilidad,7.38
stablecoins,bilira,2019,indice_estabilidad,6.6
stablecoins,pax-gold,2020,indice_estabilidad,0.76
stablecoins,stasis-eurs,2020,indice_estabilidad,1.11
stablecoins,bilira,2020,indice_estabilidad,1.47
stablecoins,gemini-dollar,2020,indice_estabilidad,3.33
stablecoins,dai,2020,indice_estabilidad,4.44
stablecoins,paxos-standard,2020,indice_estabilidad,5.93
stablecoins,binance-usd,2020,indice_estabilidad,6.29
stablecoins,true-usd,2020,indice_estabilidad,8.16
stablecoins,tether,2020,indice_estabilidad,9.27
stablecoins,usd-coin,2020,indice_estabilidad,9.24
stablecoins,pax-gold,2021,indice_estabilidad,1.13
stablecoins,stasis-eurs,2021,indice_estabilidad,0.73
stablecoins,bilira,2021,indice_estabilidad,1.84
stablecoins,gemini-dollar,2021,indice_estabilidad,2.96
stablecoins,true-usd,2021,indice_estabilidad,4.82
stablecoins,binance-usd,2021,indice_estabilidad,6.69
stablecoins,paxos-standard,2021,indice_estabilidad,5.91
stablecoins,usd-coin,2021,indice_estabilidad,7.78
stablecoins,dai,2021,indice_estabilidad,8.13
stablecoins,tether,2021,indice_estabilidad,10.0
stablecoins,pax-gold,2022,indice_estabilidad,1.13
stablecoins,stasis-eurs,2022,indice_estabilidad,1.49
stablecoins,bilira,2022,indice_estabilidad,1.47
stablecoins,gemini-dollar,2022,indice_estabilidad,2.58
stablecoins,paxos-standard,2022,indice_estabilidad,4.44
stablecoins,binance-usd,2022,indice_estabilidad,6.69
stablecoins,usd-coin,2022,indice_estabilidad,7.04
stablecoins,true-usd,2022,indice_estabilidad,7.02
stablecoins,dai,2022,indice_estabilidad,8.13
stablecoins,tether,2022,indice_estabilidad,10.0
stablecoins,pax-gold,2023,indice_estabilidad,1.51
stablecoins,stasis-eurs,2023,indice_estabilidad,1.49
stablecoins,bilira,2023,indice_estabilidad,1.47
stablecoins,gemini-dollar,2023,indice_estabilidad,2.58
stablecoins,usd-coin,2023,indice_estabilidad,5.58
stablecoins,paxos-standard,2023,indice_estabilidad,4.8
stablecoins,dai,2023,indice_estabilidad,6.29
stablecoins,true-usd,2023,indice_estabilidad,7.4
stablecoins,tether,2023,indice_estabilidad,9.27
stablecoins,binance-usd,2023,indice_estabilidad,9.62
